,base_word,guide_word,level,none,category,details,link
270,cheek,,B1,noun,body and health,Details,/british-english/words/detail/882
271,chin,,B1,noun,body and health,Details,/british-english/words/detail/910
272,beat,REGULAR SOUND,B2,noun,body and health,Details,/british-english/words/detail/487
273,bite,INJURY,B2,noun,body and health,Details,/british-english/words/detail/552
274,breakdown,ILLNESS,B2,noun,body and health,Details,/british-english/words/detail/642
275,bruise,,B2,noun,body and health,Details,/british-english/words/detail/679
276,bug,ILLNESS,B2,noun,body and health,Details,/british-english/words/detail/685
277,chest,BODY,B2,noun,body and health,Details,/british-english/words/detail/897
278,antibiotic,,C2,noun,body and health,Details,/british-english/words/detail/252
279,blister,,C2,noun,body and health,Details,/british-english/words/detail/569
280,calf,LEG,C2,noun,body and health,Details,/british-english/words/detail/742
281,case,ILLNESS,C2,noun,body and health,Details,/british-english/words/detail/800
282,blood,RED LIQUID,A2,noun,body and health,Details,/british-english/words/detail/574
283,breath,AIR,B1,noun,body and health,Details,/british-english/words/detail/646
284,care,PROTECTION,B2,noun,body and health,Details,/british-english/words/detail/782
285,cholesterol,,C1,noun,body and health,Details,/british-english/words/detail/915
286,aspirin,,B1,noun,body and health,Details,/british-english/words/detail/338
287,backache,,B1,noun,body and health,Details,/british-english/words/detail/415
288,bandage,,B1,noun,body and health,Details,/british-english/words/detail/446
289,birth,BABY,B1,noun,body and health,Details,/british-english/words/detail/548
290,bone,IN BODY,B1,noun,body and health,Details,/british-english/words/detail/594
291,beat,HEART,B1,verb,body and health,Details,/british-english/words/detail/487
292,bleed,,B1,verb,body and health,Details,/british-english/words/detail/564
293,ache,,B2,verb,body and health,Details,/british-english/words/detail/55
294,catch,ILLNESS,A2,verb,body and health,Details,/british-english/words/detail/812
295,burn,HURT BODY,B1,verb,body and health,Details,/british-english/words/detail/707
296,bump,HURT,B2,verb,body and health,Details,/british-english/words/detail/695
297,carry,DISEASE,C1,verb,body and health,Details,/british-english/words/detail/797
298,attack,DISEASE,C2,verb,body and health,Details,/british-english/words/detail/372
299,breathe,,B1,verb,body and health,Details,/british-english/words/detail/647
300,coat,,A1,noun,clothes,Details,/british-english/words/detail/988
301,belt,CLOTHING,A2,noun,clothes,Details,/british-english/words/detail/515
302,boot,SHOE,A2,noun,clothes,Details,/british-english/words/detail/604
303,cap,,A2,noun,clothes,Details,/british-english/words/detail/764
304,bracelet,,B1,noun,clothes,Details,/british-english/words/detail/627
305,button,ON CLOTHING,B1,noun,clothes,Details,/british-english/words/detail/724
306,collar,PART OF CLOTHES,B1,noun,clothes,Details,/british-english/words/detail/1004
307,badge,,B2,noun,clothes,Details,/british-english/words/detail/427
308,bikini,,B2,noun,clothes,Details,/british-english/words/detail/538
309,bow,KNOT,B2,noun,clothes,Details,/british-english/words/detail/620
310,bra,,B2,noun,clothes,Details,/british-english/words/detail/626
311,cardigan,,B2,noun,clothes,Details,/british-english/words/detail/781
312,answer,REACTION,A1,noun,communication,Details,/british-english/words/detail/250
313,capital letter,,A2,noun,communication,Details,/british-english/words/detail/771
314,card,GREETINGS,A2,noun,communication,Details,/british-english/words/detail/779
315,accent,PRONUNCIATION,B1,noun,communication,Details,/british-english/words/detail/26
316,alarm,WARNING,B1,noun,communication,Details,/british-english/words/detail/154
317,alphabet,,B1,noun,communication,Details,/british-english/words/detail/182
318,brochure,,B1,noun,communication,Details,/british-english/words/detail/671
319,call,SHOUT,B1,noun,communication,Details,/british-english/words/detail/743
320,card,INFORMATION,B1,noun,communication,Details,/british-english/words/detail/779
321,certificate,,B1,noun,communication,Details,/british-english/words/detail/846
322,accent,MARK,B2,noun,communication,Details,/british-english/words/detail/26
323,account,REPORT,B2,noun,communication,Details,/british-english/words/detail/44
324,apostrophe,,B2,noun,communication,Details,/british-english/words/detail/273
325,arrow,SYMBOL,B2,noun,communication,Details,/british-english/words/detail/322
326,ban,,B2,noun,communication,Details,/british-english/words/detail/443
327,booklet,,B2,noun,communication,Details,/british-english/words/detail/599
328,chart,DRAWING,B2,noun,communication,Details,/british-english/words/detail/871
329,colon,,B2,noun,communication,Details,/british-english/words/detail/1011
330,appeal,REQUEST,C1,noun,communication,Details,/british-english/words/detail/277
331,character,WRITING,C1,noun,communication,Details,/british-english/words/detail/863
332,claim,STATEMENT,C1,noun,communication,Details,/british-english/words/detail/934
333,channel,COMMUNICATION,C2,noun,communication,Details,/british-english/words/detail/858
334,cliché,,C2,noun,communication,Details,/british-english/words/detail/953
335,advice,,A2,noun,communication,Details,/british-english/words/detail/114
336,blame,,B2,noun,communication,Details,/british-english/words/detail/559
337,chat,,A2,noun,communication,Details,/british-english/words/detail/873
338,apology,,B1,noun,communication,Details,/british-english/words/detail/272
339,code,SECRET MESSAGE,B2,noun,communication,Details,/british-english/words/detail/991
340,attack,CRITICISM,C2,noun,communication,Details,/british-english/words/detail/372
341,answer,DOOR/TELEPHONE,A2,noun,communication,Details,/british-english/words/detail/250
342,chat,TALK,A2,verb,communication,Details,/british-english/words/detail/873
343,apologise,,B1,verb,communication,Details,/british-english/words/detail/271
344,argue,DISAGREE,B1,verb,communication,Details,/british-english/words/detail/306
345,check,ASK,B2,verb,communication,Details,/british-english/words/detail/878
346,cheer,,B2,verb,communication,Details,/british-english/words/detail/884
347,appeal,REQUEST,C1,verb,communication,Details,/british-english/words/detail/277
348,ask,INVITE,A2,verb,communication,Details,/british-english/words/detail/333
349,add,SAY MORE,B1,verb,communication,Details,/british-english/words/detail/75
350,announce,,B1,verb,communication,Details,/british-english/words/detail/240
351,approve,AGREE,B1,verb,communication,Details,/british-english/words/detail/295
352,blame,RESPONSIBLE,B1,verb,communication,Details,/british-english/words/detail/559
353,amuse,MAKE LAUGH,B2,verb,communication,Details,/british-english/words/detail/215
354,assume,,B2,verb,communication,Details,/british-english/words/detail/355
355,assure,SAY WITH CERTAINTY,B2,verb,communication,Details,/british-english/words/detail/358
356,call,DESCRIBE,B2,verb,communication,Details,/british-english/words/detail/743
357,capture,DESCRIBE,B2,verb,communication,Details,/british-english/words/detail/773
358,challenge,,B2,verb,communication,Details,/british-english/words/detail/849
359,claim,SAY,B2,verb,communication,Details,/british-english/words/detail/934
360,attack,CRITICIZE,C1,verb,communication,Details,/british-english/words/detail/372
361,clarify,,C1,verb,communication,Details,/british-english/words/detail/937
362,allege,,C2,verb,communication,Details,/british-english/words/detail/166
363,answer,REACT,A1,verb,communication,Details,/british-english/words/detail/250
364,ask,QUESTION,A1,verb,communication,Details,/british-english/words/detail/333
365,agree,SAME OPINION,A2,verb,communication,Details,/british-english/words/detail/142
366,answer,DOOR/PHONE,A2,verb,communication,Details,/british-english/words/detail/250
367,admit,,B1,verb,communication,Details,/british-english/words/detail/96
368,advise,,B1,verb,communication,Details,/british-english/words/detail/115
369,ask,REQUEST,B1,verb,communication,Details,/british-english/words/detail/333
370,ask,WANT SOMETHING,B1,verb,communication,Details,/british-english/words/detail/333
371,ask,WANT PERMISSION,B1,verb,communication,Details,/british-english/words/detail/333
372,call,SHOUT,B1,verb,communication,Details,/british-english/words/detail/743
373,argue,GIVE REASONS,B2,verb,communication,Details,/british-english/words/detail/306
374,beg,STRONG REQUEST,B2,verb,communication,Details,/british-english/words/detail/500
375,beg,VERY POOR,B2,verb,communication,Details,/british-english/words/detail/500
376,boast,PRIDE,B2,verb,communication,Details,/british-english/words/detail/582
377,claim,DEMAND,B2,verb,communication,Details,/british-english/words/detail/934
378,call,ASK TO COME,C1,verb,communication,Details,/british-english/words/detail/743
379,bark,SHOUT,C2,verb,communication,Details,/british-english/words/detail/460
380,burglar,,B2,noun,crime,Details,/british-english/words/detail/703
381,case,CRIME,B2,noun,crime,Details,/british-english/words/detail/800
382,case,COURT OF LAW,B2,noun,crime,Details,/british-english/words/detail/800
383,arrest,,B2,noun,crime,Details,/british-english/words/detail/318
384,burglary,,B2,noun,crime,Details,/british-english/words/detail/704
385,arrest,,B1,verb,crime,Details,/british-english/words/detail/318
386,centimetre,,A2,noun,describing things,Details,/british-english/words/detail/836
387,circle,SHAPE,A2,noun,describing things,Details,/british-english/words/detail/923
388,amount,,B1,noun,describing things,Details,/british-english/words/detail/213
389,average,AMOUNT,B1,noun,describing things,Details,/british-english/words/detail/400
390,bar,BLOCK,B1,noun,describing things,Details,/british-english/words/detail/454
391,bunch,THINGS,B1,noun,describing things,Details,/british-english/words/detail/698
392,base,BOTTOM,B2,noun,describing things,Details,/british-english/words/detail/464
393,block,PIECE,B2,noun,describing things,Details,/british-english/words/detail/570
394,angle,SPACE,C1,noun,describing things,Details,/british-english/words/detail/232
395,acre,,C2,noun,describing things,Details,/british-english/words/detail/62
396,black,,A2,noun,describing things,Details,/british-english/words/detail/555
397,accuracy,,B2,noun,describing things,Details,/british-english/words/detail/49
398,colour,"RED/BLUE, ETC.",A1,noun,describing things,Details,/british-english/words/detail/1012
399,blue,,A2,noun,describing things,Details,/british-english/words/detail/577
400,brown,,A2,noun,describing things,Details,/british-english/words/detail/676
401,average,USUAL/TYPICAL,B1,noun,describing things,Details,/british-english/words/detail/400
402,blackboard,,A2,noun,education,Details,/british-english/words/detail/556
403,candidate,EXAMINATION,B1,noun,education,Details,/british-english/words/detail/759
404,branch,SUBJECT,B2,noun,education,Details,/british-english/words/detail/631
405,chemistry,,A2,noun,education,Details,/british-english/words/detail/893
406,class,LESSON,A1,noun,education,Details,/british-english/words/detail/940
407,bar,DRINKING PLACE,A1,noun,food and drink,Details,/british-english/words/detail/454
408,biscuit,,A1,noun,food and drink,Details,/british-english/words/detail/550
409,café,,A1,noun,food and drink,Details,/british-english/words/detail/735
410,barbecue,PARTY,A2,noun,food and drink,Details,/british-english/words/detail/455
411,bean,,A2,noun,food and drink,Details,/british-english/words/detail/484
412,bottle,,A2,noun,food and drink,Details,/british-english/words/detail/615
413,bowl,,A2,noun,food and drink,Details,/british-english/words/detail/621
414,burger,,A2,noun,food and drink,Details,/british-english/words/detail/702
415,can,,A2,noun,food and drink,Details,/british-english/words/detail/753
416,canteen,,B1,noun,food and drink,Details,/british-english/words/detail/763
